region,museos_por_hab,NSEdenom,pred
CABA,4.871235171794073,1- Alto,107453.33025052227
CABA,4.871235171794073,2- Medio-Alto,39992.859731204204
CABA,4.871235171794073,3- Medio,22754.675691601104
CABA,4.871235171794073,4- Medio-Bajo,11092.556278755528
CABA,4.871235171794073,5- Bajo,11881.225343160513
CENTRO,10.704628277904561,1- Alto,149248.3144764135
CENTRO,10.704628277904561,2- Medio-Alto,62212.03976224459
CENTRO,10.704628277904561,3- Medio,34538.738493984776
CENTRO,10.704628277904561,4- Medio-Bajo,17692.314398649323
CENTRO,10.704628277904561,5- Bajo,16173.07893636782
CUYO,5.805129253435569,1- Alto,114144.47684408432
CUYO,5.805129253435569,2- Medio-Alto,43550.02797830545
CUYO,5.805129253435569,3- Medio,24641.2391905208
CUYO,5.805129253435569,4- Medio-Bajo,12149.141174770506
CUYO,5.805129253435569,5- Bajo,12568.327446012037
NEA,4.582680345789876,1- Alto,105385.89810909549
NEA,4.582680345789876,2- Medio-Alto,38893.765000026775
NEA,4.582680345789876,3- Medio,22171.764831710232
NEA,4.582680345789876,4- Medio-Bajo,10766.09241436057
NEA,4.582680345789876,5- Bajo,11668.924364245486
NOA,5.623510020894018,1- Alto,112843.21481337337
NOA,5.623510020894018,2- Medio-Alto,42858.246993973546
NOA,5.623510020894018,3- Medio,24274.34938840058
NOA,5.623510020894018,4- Medio-Bajo,11943.661622322834
NOA,5.623510020894018,5- Bajo,12434.703131380738
PATAGONIA,11.111145027915226,1- Alto,152160.9179723889
PATAGONIA,11.111145027915226,2- Medio-Alto,63760.44712821805
PATAGONIA,11.111145027915226,3- Medio,35359.94474996785
PATAGONIA,11.111145027915226,4- Medio-Bajo,18152.237495370733
PATAGONIA,11.111145027915226,5- Bajo,16472.1690786736
PBA,1.132199738208605,1- Alto,80663.96013194465
PBA,1.132199738208605,2- Medio-Alto,25751.01113124444
PBA,1.132199738208605,3- Medio,15201.433938777183
PBA,1.132199738208605,4- Medio-Bajo,6862.3031457157995
PBA,1.132199738208605,5- Bajo,9130.271932536853
